Generation,Species 0,Species 1,Species 2
2721,0.5362575966564942,1.0076334745326079,9.649779390158187
2722,0.5360685159660707,1.0062801315170893,9.64111447672702
2723,0.53587993158193,1.0049289397155676,9.632456227122974
2724,0.5356918426488877,1.0035798951150416,9.623804639217063
2725,0.5355042483139133,1.00223299371097,9.615159710871499
2726,0.5353171477261245,1.0008882315072523,9.606521439939725
2727,0.535130540036781,0.9995456045162093,9.597889824266453
2728,0.5349444243992786,0.9982051087585649,9.589264861687699
2729,0.5347587999691433,0.9968667402634264,9.580646550030819
2730,0.5345736659040259,0.9955304950682653,9.572034887114544
2731,0.5343890213636951,0.9941963692188993,9.563429870749019
2732,0.534204865510033,0.9928643587694724,9.554831498735831
2733,0.534021197507028,0.991534459782437,9.546239768868057
2734,0.5338380165207701,0.9902066683285341,9.537654678930286
2735,0.5336553217194443,0.9888809804867752,9.529076226698662
2736,0.5334731122733254,0.9875573923444235,9.520504409940916
2737,0.533291387354772,0.986235899996975,9.511939226416406
2738,0.5331101461382207,0.9849164995481403,9.503380673876144
2739,0.5329293878001805,0.9835991871098253,9.494828750062839
2740,0.5327491115192273,0.9822839588021133,9.486283452710921
2741,0.5325693164759979,0.9809708107532461,9.477744779546592
2742,0.5323900018531844,0.979659739099606,9.469212728287845
2743,0.5322111668355289,0.9783507399856967,9.460687296644505
2744,0.5320328106098174,0.9770438095641253,9.452168482318264
2745,0.5318549323648746,0.9757389439955843,9.443656283002714
2746,0.5316775312915579,0.9744361394488325,9.43515069638338
2747,0.5315006065827524,0.9731353921006775,9.426651720137757
2748,0.5313241574333649,0.971836698135957,9.418159351935342
2749,0.5311481830403184,0.9705400537475208,9.409673589437665
2750,0.5309726826025467,0.969245455136213,9.401194430298327
2751,0.5307976553209889,0.9679528985108532,9.392721872163035
2752,0.530623100398584,0.966662380088219,9.38425591266963
2753,0.5304490170402651,0.9653738960930278,9.375796549448125
2754,0.5302754044529546,0.9640874427579188,9.367343780120736
2755,0.5301022618455579,0.9628030163234353,9.358897602301914
2756,0.5299295884289585,0.9615206130380068,9.350458013598384
2757,0.5297573834160129,0.9602402291579306,9.34202501160917
2758,0.5295856460215443,0.9589618609473547,9.333598593925634
2759,0.5294143754623383,0.9576855046782599,9.325178758131509
2760,0.5292435709571366,0.9564111566304416,9.316765501802927
2761,0.5290732317266326,0.955138813091493,9.308358822508453
2762,0.528903356993465,0.9538684703567862,9.29995871780912
2763,0.5287339459822136,0.952600124729456,9.291565185258465
2764,0.5285649979193932,0.9513337725203814,9.28317822240255
2765,0.5283965120334486,0.9500694100481686,9.274797826780002
2766,0.5282284875547497,0.948807033639133,9.26642399592205
2767,0.5280609237155857,0.9475466396272823,9.258056727352544
