Generations,PopulationSize,SelectionCoefficient,StartAlleleFrequency,NumAlleles,AlleleFrequency
114,150,0.0015,0.6,74,0.49333333333333335
115,150,0.0015,0.6,73,0.4866666666666667
116,150,0.0015,0.6,73,0.4866666666666667
117,150,0.0015,0.6,84,0.56
118,150,0.0015,0.6,85,0.5666666666666667
119,150,0.0015,0.6,81,0.54
120,150,0.0015,0.6,82,0.5466666666666666
121,150,0.0015,0.6,81,0.54
122,150,0.0015,0.6,75,0.5
123,150,0.0015,0.6,78,0.52
124,150,0.0015,0.6,77,0.5133333333333333
125,150,0.0015,0.6,74,0.49333333333333335
126,150,0.0015,0.6,73,0.4866666666666667
127,150,0.0015,0.6,79,0.5266666666666666
128,150,0.0015,0.6,79,0.5266666666666666
129,150,0.0015,0.6,80,0.5333333333333333
130,150,0.0015,0.6,86,0.5733333333333334
131,150,0.0015,0.6,89,0.5933333333333334
132,150,0.0015,0.6,87,0.58
133,150,0.0015,0.6,94,0.6266666666666667
134,150,0.0015,0.6,84,0.56
135,150,0.0015,0.6,99,0.66
136,150,0.0015,0.6,97,0.6466666666666666
137,150,0.0015,0.6,97,0.6466666666666666
138,150,0.0015,0.6,102,0.68
139,150,0.0015,0.6,102,0.68
140,150,0.0015,0.6,100,0.6666666666666666
141,150,0.0015,0.6,101,0.6733333333333333
142,150,0.0015,0.6,99,0.66
143,150,0.0015,0.6,94,0.6266666666666667
144,150,0.0015,0.6,99,0.66
145,150,0.0015,0.6,91,0.6066666666666667
146,150,0.0015,0.6,80,0.5333333333333333
147,150,0.0015,0.6,75,0.5
148,150,0.0015,0.6,74,0.49333333333333335
149,150,0.0015,0.6,68,0.4533333333333333
150,150,0.0015,0.6,51,0.34
151,150,0.0015,0.6,60,0.4
152,150,0.0015,0.6,61,0.4066666666666667
153,150,0.0015,0.6,67,0.44666666666666666
154,150,0.0015,0.6,61,0.4066666666666667
155,150,0.0015,0.6,53,0.35333333333333333
156,150,0.0015,0.6,57,0.38
157,150,0.0015,0.6,52,0.3466666666666667
158,150,0.0015,0.6,51,0.34
159,150,0.0015,0.6,50,0.3333333333333333
160,150,0.0015,0.6,62,0.41333333333333333
161,150,0.0015,0.6,68,0.4533333333333333
162,150,0.0015,0.6,72,0.48
163,150,0.0015,0.6,66,0.44
164,150,0.0015,0.6,69,0.46
165,150,0.0015,0.6,78,0.52
166,150,0.0015,0.6,79,0.5266666666666666
167,150,0.0015,0.6,75,0.5
168,150,0.0015,0.6,77,0.5133333333333333
169,150,0.0015,0.6,72,0.48
170,150,0.0015,0.6,71,0.47333333333333333
171,150,0.0015,0.6,68,0.4533333333333333
172,150,0.0015,0.6,66,0.44
173,150,0.0015,0.6,64,0.4266666666666667
174,150,0.0015,0.6,67,0.44666666666666666
175,150,0.0015,0.6,59,0.3933333333333333
176,150,0.0015,0.6,64,0.4266666666666667
177,150,0.0015,0.6,65,0.43333333333333335
178,150,0.0015,0.6,58,0.38666666666666666
179,150,0.0015,0.6,66,0.44
180,150,0.0015,0.6,54,0.36
181,150,0.0015,0.6,40,0.26666666666666666
182,150,0.0015,0.6,51,0.34
183,150,0.0015,0.6,46,0.30666666666666664
184,150,0.0015,0.6,57,0.38
185,150,0.0015,0.6,63,0.42
186,150,0.0015,0.6,61,0.4066666666666667
187,150,0.0015,0.6,61,0.4066666666666667
188,150,0.0015,0.6,66,0.44
189,150,0.0015,0.6,69,0.46
190,150,0.0015,0.6,67,0.44666666666666666
191,150,0.0015,0.6,81,0.54
192,150,0.0015,0.6,72,0.48
193,150,0.0015,0.6,68,0.4533333333333333
194,150,0.0015,0.6,73,0.4866666666666667
195,150,0.0015,0.6,77,0.5133333333333333
196,150,0.0015,0.6,73,0.4866666666666667
197,150,0.0015,0.6,80,0.5333333333333333
198,150,0.0015,0.6,77,0.5133333333333333
199,150,0.0015,0.6,75,0.5
0,150,0.0015,0.6,90,0.6
1,150,0.0015,0.6,87,0.58
2,150,0.0015,0.6,99,0.66
3,150,0.0015,0.6,97,0.6466666666666666
4,150,0.0015,0.6,93,0.62
5,150,0.0015,0.6,96,0.64
6,150,0.0015,0.6,100,0.6666666666666666
7,150,0.0015,0.6,97,0.6466666666666666
8,150,0.0015,0.6,99,0.66
9,150,0.0015,0.6,115,0.7666666666666667
10,150,0.0015,0.6,123,0.82
11,150,0.0015,0.6,118,0.7866666666666666
12,150,0.0015,0.6,122,0.8133333333333334
13,150,0.0015,0.6,113,0.7533333333333333
14,150,0.0015,0.6,124,0.8266666666666667
15,150,0.0015,0.6,134,0.8933333333333333
16,150,0.0015,0.6,133,0.8866666666666667
17,150,0.0015,0.6,131,0.8733333333333333
18,150,0.0015,0.6,132,0.88
19,150,0.0015,0.6,130,0.8666666666666667
20,150,0.0015,0.6,132,0.88
21,150,0.0015,0.6,135,0.9
22,150,0.0015,0.6,133,0.8866666666666667
23,150,0.0015,0.6,134,0.8933333333333333
24,150,0.0015,0.6,134,0.8933333333333333
25,150,0.0015,0.6,132,0.88
26,150,0.0015,0.6,134,0.8933333333333333
27,150,0.0015,0.6,133,0.8866666666666667
28,150,0.0015,0.6,137,0.9133333333333333
29,150,0.0015,0.6,136,0.9066666666666666
30,150,0.0015,0.6,131,0.8733333333333333
31,150,0.0015,0.6,127,0.8466666666666667
32,150,0.0015,0.6,123,0.82
33,150,0.0015,0.6,126,0.84
34,150,0.0015,0.6,112,0.7466666666666667
35,150,0.0015,0.6,113,0.7533333333333333
36,150,0.0015,0.6,107,0.7133333333333334
37,150,0.0015,0.6,92,0.6133333333333333
38,150,0.0015,0.6,85,0.5666666666666667
39,150,0.0015,0.6,86,0.5733333333333334
40,150,0.0015,0.6,86,0.5733333333333334
41,150,0.0015,0.6,81,0.54
42,150,0.0015,0.6,82,0.5466666666666666
43,150,0.0015,0.6,79,0.5266666666666666
44,150,0.0015,0.6,83,0.5533333333333333
45,150,0.0015,0.6,84,0.56
46,150,0.0015,0.6,83,0.5533333333333333
47,150,0.0015,0.6,90,0.6
48,150,0.0015,0.6,90,0.6
49,150,0.0015,0.6,81,0.54
50,150,0.0015,0.6,79,0.5266666666666666
51,150,0.0015,0.6,82,0.5466666666666666
52,150,0.0015,0.6,81,0.54
53,150,0.0015,0.6,77,0.5133333333333333
54,150,0.0015,0.6,81,0.54
55,150,0.0015,0.6,74,0.49333333333333335
56,150,0.0015,0.6,68,0.4533333333333333
57,150,0.0015,0.6,65,0.43333333333333335
58,150,0.0015,0.6,57,0.38
59,150,0.0015,0.6,72,0.48
60,150,0.0015,0.6,75,0.5
61,150,0.0015,0.6,93,0.62
62,150,0.0015,0.6,81,0.54
63,150,0.0015,0.6,76,0.5066666666666667
64,150,0.0015,0.6,74,0.49333333333333335
65,150,0.0015,0.6,74,0.49333333333333335
66,150,0.0015,0.6,84,0.56
67,150,0.0015,0.6,81,0.54
68,150,0.0015,0.6,72,0.48
69,150,0.0015,0.6,71,0.47333333333333333
70,150,0.0015,0.6,82,0.5466666666666666
71,150,0.0015,0.6,86,0.5733333333333334
72,150,0.0015,0.6,85,0.5666666666666667
73,150,0.0015,0.6,82,0.5466666666666666
74,150,0.0015,0.6,89,0.5933333333333334
75,150,0.0015,0.6,96,0.64
76,150,0.0015,0.6,98,0.6533333333333333
77,150,0.0015,0.6,87,0.58
78,150,0.0015,0.6,89,0.5933333333333334
79,150,0.0015,0.6,92,0.6133333333333333
80,150,0.0015,0.6,81,0.54
81,150,0.0015,0.6,82,0.5466666666666666
82,150,0.0015,0.6,84,0.56
83,150,0.0015,0.6,88,0.5866666666666667
84,150,0.0015,0.6,89,0.5933333333333334
85,150,0.0015,0.6,101,0.6733333333333333
86,150,0.0015,0.6,112,0.7466666666666667
87,150,0.0015,0.6,111,0.74
88,150,0.0015,0.6,116,0.7733333333333333
89,150,0.0015,0.6,108,0.72
90,150,0.0015,0.6,104,0.6933333333333334
91,150,0.0015,0.6,113,0.7533333333333333
92,150,0.0015,0.6,107,0.7133333333333334
93,150,0.0015,0.6,107,0.7133333333333334
94,150,0.0015,0.6,111,0.74
95,150,0.0015,0.6,102,0.68
96,150,0.0015,0.6,108,0.72
97,150,0.0015,0.6,108,0.72
98,150,0.0015,0.6,110,0.7333333333333333
99,150,0.0015,0.6,110,0.7333333333333333
100,150,0.0015,0.6,114,0.76
101,150,0.0015,0.6,119,0.7933333333333333
102,150,0.0015,0.6,115,0.7666666666666667
103,150,0.0015,0.6,113,0.7533333333333333
104,150,0.0015,0.6,109,0.7266666666666667
105,150,0.0015,0.6,106,0.7066666666666667
106,150,0.0015,0.6,104,0.6933333333333334
107,150,0.0015,0.6,111,0.74
108,150,0.0015,0.6,117,0.78
109,150,0.0015,0.6,112,0.7466666666666667
110,150,0.0015,0.6,108,0.72
111,150,0.0015,0.6,106,0.7066666666666667
112,150,0.0015,0.6,117,0.78
113,150,0.0015,0.6,122,0.8133333333333334
114,150,0.0015,0.6,127,0.8466666666666667
115,150,0.0015,0.6,121,0.8066666666666666
116,150,0.0015,0.6,122,0.8133333333333334
117,150,0.0015,0.6,130,0.8666666666666667
118,150,0.0015,0.6,132,0.88
119,150,0.0015,0.6,129,0.86
120,150,0.0015,0.6,125,0.8333333333333334
121,150,0.0015,0.6,123,0.82
122,150,0.0015,0.6,122,0.8133333333333334
123,150,0.0015,0.6,128,0.8533333333333334
124,150,0.0015,0.6,122,0.8133333333333334
125,150,0.0015,0.6,127,0.8466666666666667
126,150,0.0015,0.6,132,0.88
127,150,0.0015,0.6,132,0.88
128,150,0.0015,0.6,130,0.8666666666666667
129,150,0.0015,0.6,128,0.8533333333333334
130,150,0.0015,0.6,130,0.8666666666666667
131,150,0.0015,0.6,131,0.8733333333333333
132,150,0.0015,0.6,132,0.88
133,150,0.0015,0.6,125,0.8333333333333334
134,150,0.0015,0.6,124,0.8266666666666667
